name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;665;0;871;3049;1642;3049;1297;0
header;124;149;124;184;1759;184;1759;149
A;832;130;832;130;833;130;833;130
A;1071;191;1071;193;1073;193;1073;191
A;927;212;927;240;949;240;949;212
A;1109;368;1109;380;1116;380;1116;368
A;1256;388;1256;391;1258;391;1258;388
A;831;400;831;407;838;407;838;400
B;926;856;926;882;947;882;947;856
C;1306;993;1306;1012;1321;1012;1321;993
B;1261;1178;1261;1197;1275;1197;1275;1178
C;929;1534;929;1561;949;1561;949;1534
B;1367;1816;1367;1831;1377;1831;1377;1816
B;1373;1861;1373;1877;1383;1877;1383;1861
A;949;1912;949;1913;949;1913;949;1912
A;917;1947;917;1951;919;1951;919;1947
A;1324;2019;1324;2031;1331;2031;1331;2019
D;931;2204;931;2231;953;2231;953;2204
B;1141;2612;1141;2623;1148;2623;1148;2612
C;1387;2643;1387;2662;1402;2662;1402;2643
B;1406;2843;1406;2858;1416;2858;1416;2843
