name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;843;0;912;3043;1688;3043;1368;0
header;109;145;109;178;1755;178;1755;145
A;922;209;922;244;944;244;944;209
B;916;883;916;911;938;911;938;883
B;1166;900;1166;928;1189;928;1189;900
C;989;993;989;1020;1014;1020;1014;993
C;912;1562;912;1589;933;1589;933;1562
A;1357;1854;1357;1858;1360;1858;1360;1854
D;912;2250;912;2278;935;2278;935;2250
B;1480;2707;1480;2726;1495;2726;1495;2707
A;908;2806;908;2807;908;2807;908;2806
B;1541;2858;1541;2884;1574;2884;1574;2858
B;1196;2860;1196;2887;1204;2887;1204;2860
B;1171;2861;1171;2877;1181;2877;1181;2861
